DHSCLUST,Building count,Building area sum,Building area mean,Building area proportion,Residential count,Residential area sum,Residential area proportion,Residential area mean,Damaged count,Damaged area sum,Damaged area proportion,Damaged area mean,Industrial count,Industrial area sum,Industrial area proportion,Industrial area mean,Commercial count,Commercial area sum,Commercial area prop,Commercial area mean,Education count,Education area sum,Education area proportion,Education area mean,Health count,Health area sum,Health area proportion,Health area mean
1121,1369,1.1050525469986778e-05,8.071968933518465e-09,0.0016640408245766913,1087,7.711923845006485e-06,8.482821550711263e-07,7.094686149959968e-09,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,17,2.6411992999362287e-07,2.905218307586089e-08,1.5536466470213113e-08,0,0.0,0.0,0.0
1122,1230,7.505738714994589e-06,6.102226597556576e-09,0.0011302499301304027,963,6.0060319550068455e-06,7.352983204862779e-07,6.236793307379902e-09,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,8,1.830633749914822e-07,2.2411834166412307e-08,2.2882921873935278e-08,0,0.0,0.0,0.0
1123,2413,1.5738258084980867e-05,6.522278526722284e-09,0.002369941957263656,366,1.8981999250032383e-06,1.1845834940356471e-07,5.1863385929050226e-09,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,1.635213149956786e-07,1.0204649579603905e-08,8.17606574978393e-08,0,0.0,0.0,0.0
1124,2645,2.406931476000043e-05,9.099929965973697e-09,0.003624472201707433,1438,1.0664203275012016e-05,6.071329248051392e-07,7.415996714194725e-09,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,12,2.0821051499532414e-07,1.1853811830509491e-08,1.7350876249610347e-08,0,0.0,0.0,0.0
1125,1153,1.055371940496635e-05,9.153269215061881e-09,0.0015892293980670086,666,5.9649441749961054e-06,7.790370688108392e-07,8.956372635129288e-09,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,33,9.175782649836607e-07,1.198380841439934e-07,2.7805401969201845e-08,0,0.0,0.0,0.0
1126,1164,9.714167909970996e-06,8.34550507729467e-09,0.0014628057301789025,713,6.2188670349944475e-06,8.045246181620572e-07,8.72211365356865e-09,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,33,9.175782649836607e-07,1.1870559365809658e-07,2.7805401969201845e-08,0,0.0,0.0,0.0
1127,36,9.431724799957515e-07,2.6199235555437545e-08,0.00014202740997184938,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,1.4534476000161573e-07,6.079640861571114e-07,3.633619000040393e-08,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
1129,7,6.54111500007984e-08,9.344450000114057e-09,9.849922909047743e-06,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
1132,17,4.955620200018582e-07,2.9150707058932847e-08,7.46240922780092e-05,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
1134,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
1135,30,1.7957287500095954e-07,5.9857625000319864e-09,2.704093989012469e-05,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
1136,8,2.5935540000131456e-08,3.241942500016432e-09,3.9054972982847855e-06,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
1137,5,4.135180199989486e-07,8.270360399978971e-08,6.226951549456005e-05,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
1138,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
1141,98,6.422169900036239e-07,6.553234591873712e-09,9.670809704980219e-05,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
1144,31,1.5918618000051386e-07,5.135038064532706e-09,2.3971014134008066e-05,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,4.073715499903871e-08,1.9788371202747366e-07,1.0184288749759675e-08,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
1146,56,1.1863294600015563e-06,2.1184454642884943e-08,0.00017864314762246108,2,3.330213499869186e-08,8.954989828618455e-08,1.665106749934593e-08,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,9.197452999939203e-08,2.4732077407916086e-07,2.2993632499848008e-08,1,1.0608950000043551e-08,2.8527612222592812e-08,1.0608950000043551e-08,0,0.0,0.0,0.0
1147,44,1.29617918499618e-06,2.9458617840822273e-08,0.0001951848430790297,2,3.330213499869186e-08,1.1397259781878026e-07,1.665106749934593e-08,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,9.197452999939203e-08,3.1477189428256817e-07,2.2993632499848008e-08,1,1.0608950000043551e-08,3.6307870101481735e-08,1.0608950000043551e-08,0,0.0,0.0,0.0
